task_id,category,title,credits,days_to_deadline,complexity,max_bidders,num_bids_received
TASK_0000,Development,Development Task #0,95,20,1,3,1
TASK_0001,Data Analysis,Data Analysis Task #1,194,8,1,8,5
TASK_0002,Writing,Writing Task #2,818,10,5,8,8
TASK_0003,Development,Development Task #3,138,3,1,3,9
TASK_0004,Design,Design Task #4,150,28,1,10,1
TASK_0005,Marketing,Marketing Task #5,178,3,1,8,2
TASK_0006,Design,Design Task #6,53,15,1,10,0
TASK_0007,DevOps,DevOps Task #7,58,25,1,3,3
TASK_0008,Data Analysis,Data Analysis Task #8,287,17,2,8,3
TASK_0009,Writing,Writing Task #9,630,6,4,10,5
TASK_0010,Writing,Writing Task #10,88,21,1,8,3
TASK_0011,Video,Video Task #11,95,14,1,3,9
TASK_0012,DevOps,DevOps Task #12,136,23,1,3,1
TASK_0013,Video,Video Task #13,896,12,5,8,0
TASK_0014,UI/UX,UI/UX Task #14,185,25,1,10,7
TASK_0015,DevOps,DevOps Task #15,158,12,1,5,3
TASK_0016,Data Analysis,Data Analysis Task #16,551,22,3,8,1
TASK_0017,Video,Video Task #17,63,14,1,10,3
TASK_0018,Development,Development Task #18,102,4,1,8,8
TASK_0019,Marketing,Marketing Task #19,691,23,4,10,4
TASK_0020,Marketing,Marketing Task #20,1125,4,6,8,4
TASK_0021,UI/UX,UI/UX Task #21,1607,23,9,3,2
TASK_0022,Video,Video Task #22,76,10,1,5,3
TASK_0023,Data Analysis,Data Analysis Task #23,506,30,3,10,3
TASK_0024,Development,Development Task #24,317,18,2,8,0
TASK_0025,Marketing,Marketing Task #25,113,9,1,5,3
TASK_0026,DevOps,DevOps Task #26,182,3,1,8,1
TASK_0027,Marketing,Marketing Task #27,1885,4,10,10,7
TASK_0028,Design,Design Task #28,156,15,1,5,6
TASK_0029,Design,Design Task #29,1007,4,6,10,4
TASK_0030,Development,Development Task #30,64,7,1,8,1
TASK_0031,Video,Video Task #31,61,5,1,5,5
TASK_0032,UI/UX,UI/UX Task #32,180,16,1,10,4
TASK_0033,UI/UX,UI/UX Task #33,89,20,1,8,6
TASK_0034,Writing,Writing Task #34,71,28,1,5,8
TASK_0035,Data Analysis,Data Analysis Task #35,1349,15,7,8,6
TASK_0036,DevOps,DevOps Task #36,126,10,1,5,3
TASK_0037,Writing,Writing Task #37,51,5,1,3,1
TASK_0038,Development,Development Task #38,616,12,4,3,3
TASK_0039,Writing,Writing Task #39,1898,5,10,5,4
TASK_0040,DevOps,DevOps Task #40,145,23,1,5,6
TASK_0041,DevOps,DevOps Task #41,134,12,1,3,8
TASK_0042,UI/UX,UI/UX Task #42,95,29,1,10,6
TASK_0043,Design,Design Task #43,282,23,2,10,4
TASK_0044,Data Analysis,Data Analysis Task #44,1561,13,8,8,6
TASK_0045,Data Analysis,Data Analysis Task #45,198,23,1,3,6
TASK_0046,UI/UX,UI/UX Task #46,184,9,1,8,3
TASK_0047,Data Analysis,Data Analysis Task #47,1466,17,8,5,7
TASK_0048,Development,Development Task #48,445,7,3,10,4
TASK_0049,Marketing,Marketing Task #49,97,11,1,5,3
TASK_0050,Writing,Writing Task #50,178,10,1,8,4
TASK_0051,Design,Design Task #51,68,3,1,3,4
