worker_id,skills,completed_tasks,completion_rate,avg_rating,late_ratio,current_active_tasks,total_credits_earned
WORKER_0000,Design|UI/UX,43,0.8007560335031438,4.28691826625819,0.046511627906976744,3,2157
WORKER_0001,Marketing,37,0.7900932590685305,1.0145087177501668,0.05405405405405406,4,1881
WORKER_0002,Node.js|Python,54,0.564329179567133,3.4776277092977788,0.12962962962962962,1,2721
WORKER_0003,Design|UI/UX|DevOps|Node.js,54,0.8688620426088548,3.8661034958735834,0.037037037037037035,1,2710
WORKER_0004,DevOps|Python|Writing,42,0.6964168992140817,4.135657419636324,0.07142857142857142,0,2108
WORKER_0005,Design|React,35,0.5209985698502624,3.5081511587479435,0.14285714285714285,0,1752
WORKER_0006,Data Analysis|Design|UI/UX,13,0.3614592827617274,1.6209262639195523,0.15384615384615385,1,682
WORKER_0007,Video|Python|Writing,41,0.8720306650436085,2.8779783380293296,0.024390243902439025,2,2092
WORKER_0008,DevOps,11,0.5270257505658604,3.330767079671851,0.09090909090909091,2,574
WORKER_0009,Video|React|Writing,8,0.26713723647129706,0.8144400629125793,0.125,2,418
WORKER_0010,Node.js,23,0.628170966445739,0.8841196575527638,0.08695652173913043,2,1184
WORKER_0011,UI/UX|Python|Design,8,0.6591798635643739,2.07513505348404,0.0,0,422
WORKER_0012,UI/UX|Data Analysis|Design,33,0.37020281640107944,0.47131942034092233,0.18181818181818182,3,1675
WORKER_0013,Design|Python|UI/UX|Video,67,0.4363203326174597,2.3759684801509082,0.16417910447761194,1,3398
WORKER_0014,UI/UX|Node.js|React|Data Analysis,58,0.49363396702711254,4.118808410520205,0.13793103448275862,1,2930
WORKER_0015,Video,38,0.1554938640437328,2.004712869059668,0.23684210526315788,5,1933
WORKER_0016,Writing|Video,33,0.35581496513406485,1.920822461087963,0.18181818181818182,2,1683
WORKER_0017,Python|UI/UX|Writing|React,37,0.22896295605645478,2.505310895513955,0.21621621621621623,2,1879
WORKER_0018,Node.js,20,0.7667442728665761,1.4108639120524273,0.05,3,1005
WORKER_0019,Data Analysis|UI/UX|Marketing,39,0.3521280566446128,2.490909421449166,0.1794871794871795,3,1955
WORKER_0020,Data Analysis|Video|Python,40,0.9499990958482833,3.839356215397994,0.0,1,2044
WORKER_0021,UI/UX,7,0.39758310712471956,2.9218376276252265,0.14285714285714285,5,385
WORKER_0022,Video|Data Analysis,19,0.31044898374446983,1.4476158345498678,0.15789473684210525,5,965
WORKER_0023,Python|Design|Data Analysis|Writing|Marketing,37,0.3531166208518147,2.4835836867639465,0.1891891891891892,1,1872
WORKER_0024,React|Video,16,0.5828253394551347,1.8770903136228636,0.125,1,814
WORKER_0025,React|Design,53,0.8295230231069007,1.0303796507591143,0.03773584905660377,3,2670
WORKER_0026,Marketing|DevOps|UI/UX,28,0.16298820930579985,2.6720567542171847,0.25,2,1431
WORKER_0027,Writing|DevOps,15,0.0887627923924191,1.299369831015458,0.26666666666666666,4,780
WORKER_0028,React|Writing|DevOps|Video|Marketing,20,0.3069593875011683,1.578273243479754,0.2,4,1013
WORKER_0029,Node.js|Data Analysis,21,0.23392685394034488,2.988555186528756,0.19047619047619047,3,1097
WORKER_0030,React|DevOps|Design,22,0.8135471859907434,0.8345420367215244,0.045454545454545456,4,1120
WORKER_0031,Video|Marketing,25,0.6173674990687978,0.986201916575701,0.08,3,1267
WORKER_0032,Writing|Marketing|Design,41,0.8917738889547031,4.373422126425689,0.024390243902439025,3,2053
WORKER_0033,Writing|Video|Data Analysis|React,7,0.55838384042476,1.5455180969128373,0.0,2,356
WORKER_0034,Video|Node.js|Writing,29,0.20637339131867374,2.913588149999897,0.20689655172413793,2,1472
WORKER_0035,Design|Data Analysis|DevOps,50,0.8261785230299941,3.720273013988105,0.04,2,2504
WORKER_0036,Marketing,30,0.5730658212799372,1.6813921499663955,0.1,3,1513
WORKER_0037,Node.js|Python,9,0.49083067586752427,3.097057014122224,0.1111111111111111,2,457
WORKER_0038,Video,22,0.19250184159871256,4.0021497749761705,0.22727272727272727,0,1107
WORKER_0039,Data Analysis|Video,5,0.15989488046613762,1.5366707800051358,0.2,2,287
WORKER_0040,Design|React|Node.js|UI/UX,5,0.3264355633907288,0.9588003623209804,0.2,5,277
WORKER_0041,Video|Writing|Marketing|Data Analysis,31,0.705270056057961,2.8556249654383676,0.06451612903225806,3,1575
WORKER_0042,Python|Marketing|Design,34,0.5822905620686702,2.3064502729583483,0.11764705882352941,2,1744
WORKER_0043,Node.js,58,0.5635438402753291,2.1618107487236684,0.1206896551724138,0,2932
WORKER_0044,Python|Marketing,22,0.47673216668352675,2.888500430085985,0.13636363636363635,1,1115
WORKER_0045,Design|React|Node.js|Marketing|Python,54,0.5764799908918402,3.146393664157596,0.1111111111111111,1,2729
WORKER_0046,Marketing|Data Analysis|Node.js|Writing,18,0.6086030300674459,2.715339014717937,0.1111111111111111,5,937
WORKER_0047,Video|Python,28,0.5025206306569848,3.699082517845223,0.14285714285714285,2,1426
WORKER_0048,DevOps|Writing|Data Analysis|Design,12,0.6706502288349889,2.0532788657377994,0.08333333333333333,0,630
WORKER_0049,Video|React|Python|DevOps,49,0.8925886248694843,2.8489935299316094,0.02040816326530612,3,2452
WORKER_0050,UI/UX|Python|Video|React,6,0.29132923286117096,0.48159929608229923,0.16666666666666666,1,315
WORKER_0051,Data Analysis|Video,38,0.2006689050320449,3.1275613780671385,0.23684210526315788,2,1932
WORKER_0052,Marketing|Design|UI/UX,31,0.7704456226289235,1.4153266834210334,0.06451612903225806,0,1580
WORKER_0053,Python|Design,30,0.40866122012574546,2.4903135500700104,0.16666666666666666,4,1526
WORKER_0054,Data Analysis|UI/UX|DevOps,15,0.814506983210674,1.0014468024774295,0.0,0,770
WORKER_0055,Video|Node.js,64,0.7849858569587864,3.141586805173189,0.0625,2,3205
WORKER_0056,UI/UX|DevOps|Writing|Marketing,1,0.6094130095999363,1.4335862849135725,0.0,2,51
